"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"116",0.8,200,2000,2,"trial","mean",0.81641,0.73973,0.87179,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
"117",0.9,200,2000,2,"trial","mean",0.81424,0.73624,0.86879,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
"118",0,0,3000,2,"trial","mean",0.82535,0.76745,0.87479,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"119",0.8,0,3000,2,"trial","mean",0.8241,0.76575,0.87127,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"120",0.9,0,3000,2,"trial","mean",0.82411,0.76528,0.87303,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"121",0,100,3000,2,"trial","mean",0.83563,0.77394,0.88003,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"122",0.8,100,3000,2,"trial","mean",0.83482,0.7755,0.88107,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"123",0.9,100,3000,2,"trial","mean",0.83429,0.77781,0.88046,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"124",0,200,3000,2,"trial","mean",0.81549,0.73758,0.86905,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"125",0.8,200,3000,2,"trial","mean",0.81521,0.73668,0.87247,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"126",0.9,200,3000,2,"trial","mean",0.82079,0.72652,0.87297,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"127",0,0,2000,3,"trial","mean",0.79856,0.73454,0.85288,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"128",0.8,0,2000,3,"trial","mean",0.79588,0.72985,0.85509,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"129",0.9,0,2000,3,"trial","mean",0.79773,0.72657,0.85403,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"130",0,100,2000,3,"trial","mean",0.80363,0.73175,0.85433,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"131",0.8,100,2000,3,"trial","mean",0.80295,0.72581,0.85856,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"132",0.9,100,2000,3,"trial","mean",0.80554,0.7312,0.86106,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"133",0,200,2000,3,"trial","mean",0.79199,0.69587,0.85173,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"134",0.8,200,2000,3,"trial","mean",0.79709,0.72752,0.85647,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"135",0.9,200,2000,3,"trial","mean",0.79241,0.71086,0.85452,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"136",0,0,3000,3,"trial","mean",0.80389,0.73778,0.86327,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"137",0.8,0,3000,3,"trial","mean",0.80166,0.73041,0.86337,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"138",0.9,0,3000,3,"trial","mean",0.80156,0.73035,0.85842,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"139",0,100,3000,3,"trial","mean",0.8103,0.74022,0.86278,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"140",0.8,100,3000,3,"trial","mean",0.80909,0.74333,0.8617,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"141",0.9,100,3000,3,"trial","mean",0.81142,0.73957,0.86612,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"142",0,200,3000,3,"trial","mean",0.80221,0.71345,0.86047,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"143",0.8,200,3000,3,"trial","mean",0.80131,0.72775,0.85455,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"144",0.9,200,3000,3,"trial","mean",0.79974,0.71045,0.86163,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"145",0,0,2000,0,"subject","median",0.75218,0.67769,0.81924,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"146",0.8,0,2000,0,"subject","median",0.75526,0.66929,0.81885,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"147",0.9,0,2000,0,"subject","median",0.75541,0.6753,0.82328,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
