"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"96",0.9,100,2000,1,"trial","mean",0.8777,0.83465,0.91308,107,17495,163.504672897196,1,0.681269470404984,"Stroop_1","internal_consistency"
"97",0,200,2000,1,"trial","mean",0.86671,0.82009,0.90502,107,17481,163.373831775701,1,0.680724299065421,"Stroop_1","internal_consistency"
"98",0.8,200,2000,1,"trial","mean",0.86543,0.81586,0.90233,107,17481,163.373831775701,1,0.680724299065421,"Stroop_1","internal_consistency"
"99",0.9,200,2000,1,"trial","mean",0.86577,0.82371,0.90292,107,17481,163.373831775701,1,0.680724299065421,"Stroop_1","internal_consistency"
"100",0,0,3000,1,"trial","mean",0.86161,0.81464,0.90136,107,17979,168.028037383178,1,0.700116822429907,"Stroop_1","internal_consistency"
"101",0.8,0,3000,1,"trial","mean",0.85974,0.80962,0.8975,107,17979,168.028037383178,1,0.700116822429907,"Stroop_1","internal_consistency"
"102",0.9,0,3000,1,"trial","mean",0.86119,0.81425,0.90221,107,17979,168.028037383178,1,0.700116822429907,"Stroop_1","internal_consistency"
"103",0,100,3000,1,"trial","mean",0.87558,0.83514,0.90775,107,17958,167.831775700935,1,0.699299065420561,"Stroop_1","internal_consistency"
"104",0.8,100,3000,1,"trial","mean",0.87622,0.83327,0.90837,107,17958,167.831775700935,1,0.699299065420561,"Stroop_1","internal_consistency"
"105",0.9,100,3000,1,"trial","mean",0.8752,0.83337,0.91021,107,17958,167.831775700935,1,0.699299065420561,"Stroop_1","internal_consistency"
"106",0,200,3000,1,"trial","mean",0.86529,0.82268,0.90446,107,17944,167.700934579439,1,0.698753894080997,"Stroop_1","internal_consistency"
"107",0.8,200,3000,1,"trial","mean",0.86312,0.81019,0.90528,107,17944,167.700934579439,1,0.698753894080997,"Stroop_1","internal_consistency"
"108",0.9,200,3000,1,"trial","mean",0.86506,0.81963,0.90028,107,17944,167.700934579439,1,0.698753894080997,"Stroop_1","internal_consistency"
"109",0,0,2000,2,"trial","mean",0.73763,0.6454,0.81258,107,22472,210.018691588785,1,0.875077881619938,"Stroop_1","internal_consistency"
"110",0.8,0,2000,2,"trial","mean",0.73562,0.64373,0.80839,107,22472,210.018691588785,1,0.875077881619938,"Stroop_1","internal_consistency"
"111",0.9,0,2000,2,"trial","mean",0.73628,0.64868,0.80542,107,22472,210.018691588785,1,0.875077881619938,"Stroop_1","internal_consistency"
"112",0,100,2000,2,"trial","mean",0.7318,0.64568,0.80443,107,22451,209.822429906542,1,0.874260124610592,"Stroop_1","internal_consistency"
"113",0.8,100,2000,2,"trial","mean",0.73488,0.63878,0.81192,107,22451,209.822429906542,1,0.874260124610592,"Stroop_1","internal_consistency"
"114",0.9,100,2000,2,"trial","mean",0.7348,0.64131,0.80665,107,22451,209.822429906542,1,0.874260124610592,"Stroop_1","internal_consistency"
"115",0,200,2000,2,"trial","mean",0.71509,0.60827,0.79825,107,22435,209.672897196262,1,0.87363707165109,"Stroop_1","internal_consistency"
"116",0.8,200,2000,2,"trial","mean",0.71686,0.5973,0.79934,107,22435,209.672897196262,1,0.87363707165109,"Stroop_1","internal_consistency"
"117",0.9,200,2000,2,"trial","mean",0.71527,0.60637,0.79975,107,22435,209.672897196262,1,0.87363707165109,"Stroop_1","internal_consistency"
"118",0,0,3000,2,"trial","mean",0.73554,0.64788,0.79871,107,22582,211.046728971963,1,0.879361370716511,"Stroop_1","internal_consistency"
"119",0.8,0,3000,2,"trial","mean",0.73401,0.64892,0.80692,107,22582,211.046728971963,1,0.879361370716511,"Stroop_1","internal_consistency"
"120",0.9,0,3000,2,"trial","mean",0.73507,0.64736,0.80671,107,22582,211.046728971963,1,0.879361370716511,"Stroop_1","internal_consistency"
"121",0,100,3000,2,"trial","mean",0.73188,0.64856,0.80887,107,22561,210.85046728972,1,0.878543613707165,"Stroop_1","internal_consistency"
