"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"80",0.8,200,2000,0,"trial","mean",0.71036,0.55822,0.79901,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"81",0.9,200,2000,0,"trial","mean",0.71225,0.59997,0.80129,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"82",0,0,3000,0,"trial","mean",0.72781,0.64477,0.80468,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"83",0.8,0,3000,0,"trial","mean",0.7242,0.63059,0.80391,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"84",0.9,0,3000,0,"trial","mean",0.72359,0.62984,0.79801,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"85",0,100,3000,0,"trial","mean",0.73127,0.64315,0.81141,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"86",0.8,100,3000,0,"trial","mean",0.73301,0.64112,0.80806,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"87",0.9,100,3000,0,"trial","mean",0.73087,0.64192,0.80237,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"88",0,200,3000,0,"trial","mean",0.71238,0.58983,0.8002,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"89",0.8,200,3000,0,"trial","mean",0.71569,0.60669,0.7974,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"90",0.9,200,3000,0,"trial","mean",0.71405,0.60142,0.79489,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"91",0,0,2000,1,"trial","mean",0.91378,0.88337,0.93759,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"92",0.8,0,2000,1,"trial","mean",0.9132,0.88354,0.93629,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"93",0.9,0,2000,1,"trial","mean",0.91123,0.88205,0.93557,107,35055,327.616822429907,1,0.682535046728972,"Stroop_1","internal_consistency"
"94",0,100,2000,1,"trial","mean",0.92471,0.89788,0.94878,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"95",0.8,100,2000,1,"trial","mean",0.92395,0.89807,0.94534,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"96",0.9,100,2000,1,"trial","mean",0.92376,0.89779,0.94503,107,34998,327.084112149533,1,0.68142523364486,"Stroop_1","internal_consistency"
"97",0,200,2000,1,"trial","mean",0.91964,0.8863,0.94383,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"98",0.8,200,2000,1,"trial","mean",0.91865,0.88336,0.94217,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"99",0.9,200,2000,1,"trial","mean",0.91994,0.88735,0.94455,107,34973,326.85046728972,1,0.680938473520249,"Stroop_1","internal_consistency"
"100",0,0,3000,1,"trial","mean",0.91262,0.88235,0.93803,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
